Date,Open,High,Low,Close,Adj Close,Volume
2010-07-15,11.040000,11.050000,10.590000,9.954241,10.720000,23827200
2010-07-16,10.720000,10.750000,10.010000,9.332101,10.050000,32215100
2010-07-19,10.190000,10.500000,10.120000,9.712812,10.460000,19961000
2010-07-20,10.190000,10.780000,10.100000,9.954241,10.720000,29024700
2010-07-21,10.820000,10.830000,10.270000,9.629242,10.370000,15623500
2010-07-22,10.480000,10.650000,10.420000,9.787098,10.540000,11565300
2010-07-23,10.530000,10.540000,10.260000,9.619953,10.360000,20440100
2010-07-26,10.330000,10.590000,10.170000,9.796383,10.550000,17088700
2010-07-27,10.580000,10.600000,10.330000,9.712812,10.460000,17086800
2010-07-28,10.290000,10.470000,10.100000,9.406386,10.130000,33020200
2010-07-29,9.400000,9.600000,9.070000,8.477819,9.130000,66611900
2010-07-30,9.060000,9.350000,8.920000,8.533532,9.190000,24607200
2010-08-02,9.350000,9.390000,9.140000,8.524247,9.180000,22925500
2010-08-03,9.110000,9.120000,8.870000,8.301389,8.940000,23886100
2010-08-04,9.020000,9.350000,8.980000,8.654247,9.320000,21387400
2010-08-05,9.350000,9.460000,9.180000,8.765674,9.440000,20012600
2010-08-06,9.400000,9.650000,9.320000,8.867815,9.550000,18497600
2010-08-09,9.650000,9.660000,9.410000,8.951387,9.640000,11661400
2010-08-10,9.480000,9.500000,9.200000,8.579960,9.240000,19314000
2010-08-11,9.050000,9.050000,8.850000,8.245677,8.880000,19903700
2010-08-12,8.720000,9.160000,8.650000,8.319963,8.960000,33589600
2010-08-13,9.250000,9.520000,9.230000,8.719247,9.390000,44934800
2010-08-16,9.260000,9.450000,9.030000,8.496388,9.150000,20350200
2010-08-17,9.240000,9.440000,9.150000,8.607821,9.270000,12030600
2010-08-18,9.240000,9.400000,9.180000,8.654247,9.320000,8823000
2010-08-19,9.420000,9.910000,9.370000,9.174241,9.880000,40377500
2010-08-20,9.810000,10.210000,9.800000,9.257813,9.970000,32632700
2010-08-23,10.000000,10.250000,9.790000,9.118528,9.820000,18715500
2010-08-24,9.500000,9.820000,9.480000,9.025673,9.720000,16033300
2010-08-25,9.610000,10.000000,9.560000,9.211386,9.920000,18938300
2010-08-26,10.050000,10.160000,9.800000,9.099958,9.800000,16439900
2010-08-27,9.860000,10.200000,9.610000,9.397097,10.120000,26510400
2010-08-30,10.000000,10.080000,9.640000,8.951387,9.640000,15070100
2010-08-31,9.500000,9.800000,9.300000,8.663532,9.330000,23287200
2010-09-01,9.470000,9.590000,9.350000,8.728529,9.400000,21286000
2010-09-02,9.430000,9.600000,9.340000,8.886387,9.570000,14907300
2010-09-03,9.800000,9.930000,9.680000,9.192815,9.900000,14162100
2010-09-07,9.870000,10.220000,9.850000,9.276385,9.990000,22495500
2010-09-08,10.010000,10.390000,9.900000,9.582811,10.320000,30603900
2010-09-09,10.450000,10.460000,10.050000,9.452814,10.180000,17443700
2010-09-10,10.250000,10.280000,9.980000,9.350673,10.070000,15232300
2010-09-13,10.250000,10.770000,10.250000,9.879954,10.640000,25394800
2010-09-14,10.550000,10.680000,10.450000,9.787098,10.540000,17463400
2010-09-15,10.440000,10.570000,10.300000,9.805670,10.560000,13889300
2010-09-16,10.420000,10.660000,10.420000,9.814954,10.570000,9132000
2010-09-17,10.670000,10.680000,10.520000,9.796383,10.550000,10422100
2010-09-20,10.550000,10.750000,10.450000,9.944951,10.710000,11079200
2010-09-21,10.650000,11.470000,10.650000,10.483523,11.290000,44490600
2010-09-22,11.250000,11.490000,11.180000,10.576381,11.390000,24999900
2010-09-23,11.520000,11.980000,11.420000,10.789950,11.620000,31021800
2010-09-24,11.880000,12.300000,11.790000,11.384233,12.260000,27174400
2010-09-27,12.350000,12.360000,11.840000,11.142805,12.000000,24987600
2010-09-28,12.010000,12.140000,11.760000,11.114948,11.970000,18079800
2010-09-29,11.860000,12.230000,11.750000,11.031378,11.880000,24372600
2010-09-30,12.030000,12.170000,11.580000,10.845666,11.680000,19690800
2010-10-01,11.850000,11.870000,11.260000,10.539236,11.350000,24978000
2010-10-04,11.240000,11.430000,11.010000,10.437095,11.240000,18737500
2010-10-05,11.480000,11.500000,11.290000,10.511381,11.320000,18839700
2010-10-06,11.320000,11.370000,10.670000,10.009954,10.780000,26440100
2010-10-07,10.830000,10.840000,10.380000,9.935669,10.700000,19037200
2010-10-08,10.660000,10.950000,10.510000,10.084239,10.860000,17673300
2010-10-11,10.910000,11.000000,10.760000,10.037811,10.810000,11067000
2010-10-12,10.720000,11.070000,10.630000,10.232810,11.020000,15130200
2010-10-13,11.200000,11.500000,11.080000,10.529952,11.340000,24218300
2010-10-14,11.350000,11.370000,11.110000,10.362811,11.160000,14979300
2010-10-15,11.340000,11.470000,11.160000,10.483523,11.290000,15998500
2010-10-18,11.300000,11.410000,11.100000,10.548520,11.360000,11203900
2010-10-19,11.110000,11.370000,11.020000,10.483523,11.290000,21653400
2010-10-20,11.300000,11.600000,11.100000,10.483523,11.290000,19088300
2010-10-21,11.300000,11.320000,10.920000,10.297810,11.090000,25360700
2010-10-22,11.160000,11.890000,11.040000,10.957094,11.800000,33066900
2010-10-25,11.890000,12.000000,11.780000,11.059236,11.910000,16828400
2010-10-26,11.770000,12.050000,11.670000,11.022091,11.870000,16881200
2010-10-27,11.760000,12.080000,11.730000,11.179947,12.040000,12419900
2010-10-28,12.200000,12.240000,11.940000,11.189231,12.050000,17611200
2010-10-29,12.030000,12.150000,11.900000,11.161378,12.020000,13866600
2010-11-01,12.100000,12.290000,11.940000,11.179947,12.040000,11848000
2010-11-02,12.090000,12.490000,12.020000,11.412092,12.290000,14525900
2010-11-03,12.370000,12.460000,12.050000,11.495662,12.380000,16793700
2010-11-04,12.500000,12.630000,12.380000,11.514232,12.400000,17500400
2010-11-05,12.490000,12.720000,12.430000,11.709230,12.610000,18377900
2010-11-08,12.600000,12.770000,12.500000,11.755661,12.660000,15128900
2010-11-09,12.660000,12.760000,12.520000,11.690660,12.590000,15849100
2010-11-10,12.680000,12.740000,12.500000,11.829945,12.740000,13025400
2010-11-11,12.440000,12.820000,12.270000,11.709230,12.610000,27249500
2010-11-12,13.090000,13.680000,13.030000,12.312799,13.260000,53564000
2010-11-15,13.320000,13.510000,13.070000,12.164228,13.100000,18338700
2010-11-16,12.880000,13.060000,12.690000,11.802087,12.710000,18483900
2010-11-17,12.700000,13.070000,12.580000,11.997087,12.920000,13794100
2010-11-18,13.090000,13.450000,13.090000,12.368515,13.320000,24828000
2010-11-19,13.290000,13.800000,13.270000,12.767797,13.750000,17912100
2010-11-22,13.660000,13.840000,13.540000,12.777084,13.760000,11566700
2010-11-23,13.600000,13.740000,13.340000,12.479941,13.440000,11445800
2010-11-24,13.580000,13.820000,13.570000,12.786368,13.770000,9944600
2010-11-26,13.760000,13.840000,13.600000,12.628514,13.600000,3577600
2010-11-29,13.540000,13.800000,13.480000,12.767797,13.750000,11704800
2010-11-30,13.540000,13.680000,13.360000,12.637797,13.610000,18023400
2010-12-01,13.880000,14.300000,13.860000,13.194939,14.210000,15663400
2010-12-02,14.210000,14.470000,14.200000,13.352797,14.380000,13232900
2010-12-03,14.310000,14.790000,14.280000,13.733509,14.790000,15151100
2010-12-06,14.840000,14.870000,14.450000,13.473510,14.510000,10960600
2010-12-07,14.850000,15.330000,14.820000,13.909937,14.980000,25670300
2010-12-08,14.960000,15.270000,14.850000,14.030649,15.110000,15331300
2010-12-09,14.750000,14.960000,14.540000,13.798507,14.860000,23560200
2010-12-10,14.860000,15.090000,14.820000,13.882078,14.950000,11297500
2010-12-13,15.010000,15.040000,14.530000,13.529222,14.570000,15227700
2010-12-14,14.850000,15.120000,14.570000,13.547795,14.590000,18879000
2010-12-15,14.620000,14.800000,14.250000,13.250653,14.270000,15604400
2010-12-16,14.420000,14.500000,14.250000,13.269225,14.290000,15796800
2010-12-17,14.300000,14.450000,14.130000,13.343509,14.370000,14828900
2010-12-20,14.420000,14.490000,14.300000,13.287797,14.310000,8602200
2010-12-21,14.450000,14.870000,14.440000,13.807791,14.870000,11673800
2010-12-22,14.840000,15.050000,14.700000,13.956363,15.030000,11949700
2010-12-23,15.030000,15.030000,14.860000,13.854222,14.920000,6844600
2010-12-27,14.880000,15.110000,14.610000,13.928508,15.000000,6387500
2010-12-28,15.000000,15.100000,14.850000,13.872792,14.940000,4856500
2010-12-29,14.930000,15.050000,14.800000,13.872792,14.940000,4441500
2010-12-30,14.920000,15.080000,14.870000,13.919219,14.990000,4362200
2010-12-31,15.000000,15.420000,14.980000,14.299932,15.400000,9781300
2011-01-03,15.520000,15.970000,15.500000,14.689930,15.820000,20436200
2011-01-04,15.850000,15.920000,15.420000,14.643503,15.770000,16284600
2011-01-05,16.059999,17.000000,15.900000,15.767070,16.980000,35705400
2011-01-06,17.420000,19.340000,17.370001,17.949205,19.330000,87332800
2011-01-07,19.110001,19.930000,18.680000,18.450630,19.870001,64499600
2011-01-10,19.510000,20.670000,19.360001,19.156338,20.629999,43758700
2011-01-11,20.910000,21.110001,19.870001,18.859200,20.309999,67777200
2011-01-12,20.320000,23.370001,20.250000,21.682043,23.350000,85797400
2011-01-13,23.100000,23.840000,22.379999,21.719185,23.389999,67379800
2011-01-14,22.990000,23.980000,22.850000,21.904900,23.590000,39883800
2011-01-18,23.270000,23.430000,22.469999,21.394190,23.040001,45333700
2011-01-19,23.049999,23.600000,22.360001,20.809187,22.410000,29947400
2011-01-20,22.190001,22.559999,21.790001,20.827761,22.430000,27785200
2011-01-21,22.670000,22.990000,22.180000,20.632763,22.219999,18481100
2011-01-24,23.240000,25.049999,22.980000,22.963469,24.730000,51422500
2011-01-25,24.620001,24.879999,23.809999,22.257753,23.969999,27171400
2011-01-26,24.219999,25.000000,24.049999,22.787041,24.540001,26866500
2011-01-27,24.889999,24.950001,24.000000,22.722033,24.469999,16434900
2011-01-28,24.530001,24.940001,23.200001,22.062756,23.760000,27369900
